date,open,high,low,close,volume
2021-07-02,3569.892,3569.892,3514.339,3518.76,29194554800
2021-07-05,3516.923,3534.322,3510.578,3534.322,28809483700
2021-07-06,3533.13,3538.347,3496.928,3530.259,31407021100
2021-07-07,3508.59,3557.879,3504.472,3553.716,31883918900
2021-07-08,3557.218,3558.677,3521.058,3525.504,35087785700
2021-07-09,3512.233,3529.31,3485.054,3524.088,34988431700
2021-07-12,3545.198,3565.032,3527.393,3547.836,40363955800
2021-07-13,3547.59,3567.481,3542.815,3566.523,36241671100
2021-07-14,3560.828,3560.828,3525.494,3528.501,37222172200
2021-07-15,3519.063,3565.935,3514.258,3564.59,36325916400
2021-07-16,3559.526,3565.999,3537.729,3539.304,36601477900
